1672093797.271233 client started (28128): version 3.2a, socket /private/tmp/tmux-501/default, protocol 8
1672093797.271331 on Darwin 22.2.0 Darwin Kernel Version 22.2.0: Fri Nov 11 02:04:44 PST 2022; root:xnu-8792.61.2~4/RELEASE_ARM64_T8103
1672093797.272174 using libevent 2.1.12-stable (select); utf8proc 2.6.1; ncurses 6.2
1672093797.277252 sending message 105 to peer 0x150048000 (39 bytes)
1672093797.277259 sending message 105 to peer 0x150048000 (16 bytes)
1672093797.277275 sending message 105 to peer 0x150048000 (52 bytes)
1672093797.277283 sending message 105 to peer 0x150048000 (80 bytes)
1672093797.277291 sending message 105 to peer 0x150048000 (88 bytes)
1672093797.277299 sending message 105 to peer 0x150048000 (100 bytes)
1672093797.277307 sending message 105 to peer 0x150048000 (94 bytes)
1672093797.277315 sending message 105 to peer 0x150048000 (104 bytes)
1672093797.277321 sending message 105 to peer 0x150048000 (253 bytes)
1672093797.277330 sending message 105 to peer 0x150048000 (34 bytes)
1672093797.277339 sending message 105 to peer 0x150048000 (16 bytes)
1672093797.277347 sending message 105 to peer 0x150048000 (60 bytes)
1672093797.277357 sending message 105 to peer 0x150048000 (69 bytes)
1672093797.277366 sending message 105 to peer 0x150048000 (55 bytes)
1672093797.277372 sending message 105 to peer 0x150048000 (111 bytes)
1672093797.277380 sending message 105 to peer 0x150048000 (54 bytes)
1672093797.277387 sending message 105 to peer 0x150048000 (67 bytes)
1672093797.277395 sending message 105 to peer 0x150048000 (29 bytes)
1672093797.277403 sending message 105 to peer 0x150048000 (55 bytes)
1672093797.277411 sending message 105 to peer 0x150048000 (49 bytes)
1672093797.277420 sending message 105 to peer 0x150048000 (90 bytes)
1672093797.277428 sending message 105 to peer 0x150048000 (28 bytes)
1672093797.277436 sending message 105 to peer 0x150048000 (35 bytes)
1672093797.277444 sending message 105 to peer 0x150048000 (25 bytes)
1672093797.277462 sending message 106 to peer 0x150048000 (0 bytes)
1672093797.277475 sending message 200 to peer 0x150048000 (4 bytes)
1672093797.277483 client loop enter
1672093797.277559 client_signal: Child exited: 20
1672093797.341848 peer 0x150048000 message 207
1672093797.341859 sending message 208 to peer 0x150048000 (0 bytes)
1672093797.345553 peer 0x150048000 message 203
1672093797.345560 sending message 205 to peer 0x150048000 (0 bytes)
1672093797.345649 peer 0x150048000 message 204
1672093797.345655 client loop exit
